"qseqid" "sseqid" "%_ident" "query_len" "alignment_length" "mismatch" "gapopen" "qstart" "qend" "sstart" "send" "evalue" "bitscore" "query_cover" "alightment"
"193" "AEB77471.1" "JENQ01000146.1" 100 141 141 0 0 1 141 43753 43893 4.3e-68 261 100 141
"194" "AEB77471.1" "CP002412.1" 100 141 141 0 0 1 141 45912 46052 4.3e-68 261 100 141
"195" "AEB77471.1" "CM003336.1" 100 141 141 0 0 1 141 43753 43893 4.3e-68 261 100 141
"196" "AEB77471.1" "AESC02000110.1" 100 141 141 0 0 1 141 61480 61620 4.3e-68 261 100 141
"197" "CDL91224.1" "NZ_CP014171.1" 100 171 171 0 0 1 171 26581 26411 1.14e-84 316 100 171
"198" "CDL91224.1" "CP016281.1" 100 171 171 0 0 1 171 10188 10358 1.14e-84 316 100 171
"199" "CDL91224.1" "CP014171.1" 100 171 171 0 0 1 171 26581 26411 1.14e-84 316 100 171
"200" "KEI06165.1" "NZ_CM003345.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"201" "KEI06165.1" "JENU01000088.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"202" "KEI06165.1" "CM003345.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"228" "CAA44560.1" "X62684.1" 100 150 150 0 0 1 150 488 637 4.61e-73 278 100 150
"229" "KEH96132.1" "NZ_CM003335.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"230" "KEH96132.1" "JENR01000129.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"231" "KEH96132.1" "CM003335.1" 100 159 159 0 0 1 159 1382 1224 4.91e-78 294 100 159
"232" "KLU74177.1" "NZ_CM003323.1" 100 159 159 0 0 1 159 2426 2584 4.91e-78 294 100 159
"233" "KLU74177.1" "CM003323.1" 100 159 159 0 0 1 159 2426 2584 4.91e-78 294 100 159
"234" "KLU74177.1" "AESC02000114.1" 100 159 159 0 0 1 159 2426 2584 4.91e-78 294 100 159
"235" "KLU74177.1" "NC_015427.1" 99.371 159 159 0 1 1 159 1111 1268 8.22e-76 287 100 159
"236" "KLU74177.1" "CP002414.1" 99.371 159 159 0 1 1 159 1111 1268 8.22e-76 287 100 159
"237" "BAB62496.1" "NC_023917.1" 100 351 351 0 0 1 351 50074 49724 0 649 100 351
"238" "BAB62496.1" "NC_003042.1" 100 351 351 0 0 1 351 49856 49506 0 649 100 351
"239" "BAB62496.1" "AP013033.1" 100 351 351 0 0 1 351 50074 49724 0 649 100 351
"240" "BAB62496.1" "AP003515.1" 100 351 351 0 0 1 351 49856 49506 0 649 100 351
"241" "BAB62496.1" "NC_023918.1" 99.715 351 351 1 0 1 351 50056 49706 0 643 100 351
"242" "BAB62496.1" "AP013034.1" 99.715 351 351 1 0 1 351 50056 49706 0 643 100 351
"243" "BAB62496.1" "NZ_CP013044.1" 98.86 351 351 4 0 1 351 8310 7960 1.04e-177 627 100 351
"244" "BAB62496.1" "NZ_CM001479.1" 98.86 351 351 4 0 1 351 38197 37847 1.04e-177 627 100 351
"245" "BAB62496.1" "CP013044.1" 98.86 351 351 4 0 1 351 8310 7960 1.04e-177 627 100 351
"246" "BAB62496.1" "CM001479.1" 98.86 351 351 4 0 1 351 38197 37847 1.04e-177 627 100 351
"247" "BAB62496.1" "AFES01000051.1" 98.86 351 351 4 0 1 351 38197 37847 1.04e-177 627 100 351
"291" "EHP45205.1" "NZ_CP013044.1" 100 351 351 0 0 1 351 8310 7960 0 649 100 351
"292" "EHP45205.1" "NZ_CM001479.1" 100 351 351 0 0 1 351 38197 37847 0 649 100 351
"293" "EHP45205.1" "CP013044.1" 100 351 351 0 0 1 351 8310 7960 0 649 100 351
"294" "EHP45205.1" "CM001479.1" 100 351 351 0 0 1 351 38197 37847 0 649 100 351
"295" "EHP45205.1" "AFES01000051.1" 100 351 351 0 0 1 351 38197 37847 0 649 100 351
"296" "EHP45205.1" "NC_023917.1" 98.86 351 351 4 0 1 351 50074 49724 1.04e-177 627 100 351
"297" "EHP45205.1" "NC_003042.1" 98.86 351 351 4 0 1 351 49856 49506 1.04e-177 627 100 351
"298" "EHP45205.1" "AP013033.1" 98.86 351 351 4 0 1 351 50074 49724 1.04e-177 627 100 351
"299" "EHP45205.1" "AP003515.1" 98.86 351 351 4 0 1 351 49856 49506 1.04e-177 627 100 351
"300" "EHP45205.1" "NC_023918.1" 98.575 351 351 5 0 1 351 50056 49706 4.86e-176 621 100 351
"301" "EHP45205.1" "AP013034.1" 98.575 351 351 5 0 1 351 50056 49706 4.86e-176 621 100 351
"302" "KEH96547.1" "NZ_CM003334.1" 100 309 309 0 0 1 309 123575 123267 4.31e-161 571 100 309
"303" "KEH96547.1" "JENR01000128.1" 100 309 309 0 0 1 309 123575 123267 4.31e-161 571 100 309
"304" "KEH96547.1" "CM003334.1" 100 309 309 0 0 1 309 123575 123267 4.31e-161 571 100 309
"305" "KEH96547.1" "NZ_LHYV01000011.1" 99.676 309 309 0 1 1 309 56015 56322 7.22e-159 564 100 309
"306" "KEH96547.1" "NZ_LHYT01000107.1" 99.676 309 309 0 1 1 309 3248 3555 7.22e-159 564 100 309
"307" "KEH96547.1" "NZ_LHYS01000025.1" 99.676 309 309 0 1 1 309 85487 85180 7.22e-159 564 100 309
"308" "KEH96547.1" "NZ_LHYR01000012.1" 99.676 309 309 0 1 1 309 42217 41910 7.22e-159 564 100 309
"309" "KEH96547.1" "NZ_LHYQ01000095.1" 99.676 309 309 0 1 1 309 13852 14159 7.22e-159 564 100 309
"310" "KEH96547.1" "NZ_LHYP01000010.1" 99.676 309 309 0 1 1 309 62144 62451 7.22e-159 564 100 309
"311" "KEH96547.1" "NZ_LGVU01000009.1" 99.676 309 309 0 1 1 309 85222 84915 7.22e-159 564 100 309
"312" "KEH96547.1" "NZ_LGVT01000028.1" 99.676 309 309 0 1 1 309 15408 15715 7.22e-159 564 100 309
"313" "KEH96547.1" "NZ_LGVS01000001.1" 99.676 309 309 0 1 1 309 62863 63170 7.22e-159 564 100 309
"314" "KEH96547.1" "NZ_LGVR01000060.1" 99.676 309 309 0 1 1 309 42152 41845 7.22e-159 564 100 309
"315" "KEH96547.1" "NZ_LGVQ01000009.1" 99.676 309 309 0 1 1 309 83995 83688 7.22e-159 564 100 309
"316" "KEH96547.1" "NZ_CM003321.1" 99.676 309 309 0 1 1 309 141489 141182 7.22e-159 564 100 309
"317" "KEH96547.1" "NC_015417.1" 99.676 309 309 0 1 1 309 144886 144579 7.22e-159 564 100 309
"318" "KEH96547.1" "LHYV01000011.1" 99.676 309 309 0 1 1 309 56015 56322 7.22e-159 564 100 309
"319" "KEH96547.1" "LHYT01000107.1" 99.676 309 309 0 1 1 309 3248 3555 7.22e-159 564 100 309
"320" "KEH96547.1" "LHYS01000025.1" 99.676 309 309 0 1 1 309 85487 85180 7.22e-159 564 100 309
"321" "KEH96547.1" "LHYR01000012.1" 99.676 309 309 0 1 1 309 42217 41910 7.22e-159 564 100 309
"322" "KEH96547.1" "LHYQ01000095.1" 99.676 309 309 0 1 1 309 13852 14159 7.22e-159 564 100 309
"323" "KEH96547.1" "LHYP01000010.1" 99.676 309 309 0 1 1 309 62144 62451 7.22e-159 564 100 309
"324" "KEH96547.1" "LGVU01000009.1" 99.676 309 309 0 1 1 309 85222 84915 7.22e-159 564 100 309
"325" "KEH96547.1" "LGVT01000028.1" 99.676 309 309 0 1 1 309 15408 15715 7.22e-159 564 100 309
"326" "KEH96547.1" "LGVS01000001.1" 99.676 309 309 0 1 1 309 62863 63170 7.22e-159 564 100 309
"327" "KEH96547.1" "LGVR01000060.1" 99.676 309 309 0 1 1 309 42152 41845 7.22e-159 564 100 309
"328" "KEH96547.1" "LGVQ01000009.1" 99.676 309 309 0 1 1 309 83995 83688 7.22e-159 564 100 309
"329" "KEH96547.1" "CP002411.1" 99.676 309 309 0 1 1 309 144886 144579 7.22e-159 564 100 309
"330" "KEH96547.1" "CM003321.1" 99.676 309 309 0 1 1 309 141489 141182 7.22e-159 564 100 309
"331" "KEH96547.1" "AESC02000112.1" 99.676 309 309 0 1 1 309 141489 141182 7.22e-159 564 100 309
"332" "KEH99712.1" "NZ_CM003340.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"333" "KEH99712.1" "NZ_CM003339.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"334" "KEH99712.1" "JENT01000159.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"335" "KEH99712.1" "JENS01000121.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"336" "KEH99712.1" "CM003340.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"337" "KEH99712.1" "CM003339.1" 100 684 684 0 0 1 684 36244 36927 0 1264 100 684
"406" "CRG98271.1" "LN835295.1" 100 375 375 0 0 1 375 8138 8512 0 693 100 375
"446" "BAH73490.1" "NC_012795.1" 100 285 285 0 0 1 285 8515 8231 8.66e-148 527 100 285
"447" "BAH73490.1" "AP010906.1" 100 285 285 0 0 1 285 8515 8231 8.66e-148 527 100 285
"458" "KPS48625.1" "NZ_CP012169.1" 99.706 340 340 1 0 1 340 124416 124077 1.3e-176 623 100 340
"459" "KPS48625.1" "NC_014107.1" 99.706 340 340 1 0 1 340 97679 97340 1.3e-176 623 100 340
"460" "KPS48625.1" "CP012169.1" 99.706 340 340 1 0 1 340 124416 124077 1.3e-176 623 100 340
"461" "KPS48625.1" "CP001919.1" 99.706 340 340 1 0 1 340 97679 97340 1.3e-176 623 100 340
"466" "EUM24288.1" "NZ_CP018436.1" 100 249 249 0 0 1 249 43960 43712 7.66e-128 460 100 249
"467" "EUM24288.1" "NZ_CP018432.1" 100 249 249 0 0 1 249 43959 43711 7.66e-128 460 100 249
"468" "EUM24288.1" "NZ_CP018426.1" 100 249 249 0 0 1 249 43959 43711 7.66e-128 460 100 249
"469" "EUM24288.1" "NZ_CP012686.1" 100 249 249 0 0 1 249 10537 10289 7.66e-128 460 100 249
"470" "EUM24288.1" "NZ_CP012163.1" 100 249 249 0 0 1 249 81168 80920 7.66e-128 460 100 249
"471" "EUM24288.1" "NZ_CP010387.1" 100 249 249 0 0 1 249 14022 13774 7.66e-128 460 100 249
"472" "EUM24288.1" "KX348146.1" 100 249 249 0 0 1 249 549 797 7.66e-128 460 100 249
"473" "EUM24288.1" "CP018436.1" 100 249 249 0 0 1 249 43960 43712 7.66e-128 460 100 249
"474" "EUM24288.1" "CP018432.1" 100 249 249 0 0 1 249 43959 43711 7.66e-128 460 100 249
"475" "EUM24288.1" "CP018426.1" 100 249 249 0 0 1 249 43959 43711 7.66e-128 460 100 249
"476" "EUM24288.1" "CP012686.1" 100 249 249 0 0 1 249 10537 10289 7.66e-128 460 100 249
"477" "EUM24288.1" "CP012163.1" 100 249 249 0 0 1 249 81168 80920 7.66e-128 460 100 249
"478" "EUM24288.1" "CP010387.1" 100 249 249 0 0 1 249 14022 13774 7.66e-128 460 100 249
"514" "KPS24826.1" "NC_025184.1" 100 126 126 0 0 1 126 88959 88834 8.15e-60 233 100 126
"515" "KPS24826.1" "NC_021501.1" 100 126 126 0 0 1 126 21826 21951 8.15e-60 233 100 126
"516" "KPS24826.1" "KP900016.1" 100 126 126 0 0 1 126 28308 28183 8.15e-60 233 100 126
"517" "KPS24826.1" "KP868647.1" 100 126 126 0 0 1 126 9596 9471 8.15e-60 233 100 126
"518" "KPS24826.1" "KJ812998.1" 100 126 126 0 0 1 126 7826 7701 8.15e-60 233 100 126
"519" "KPS24826.1" "KF732966.1" 100 126 126 0 0 1 126 88959 88834 8.15e-60 233 100 126
"520" "KPS24826.1" "KC887917.2" 100 126 126 0 0 1 126 7826 7701 8.15e-60 233 100 126
"521" "KPS24826.1" "KC887916.2" 100 126 126 0 0 1 126 7826 7701 8.15e-60 233 100 126
"522" "KPS24826.1" "JQ314407.1" 100 126 126 0 0 1 126 21826 21951 8.15e-60 233 100 126
"841" "AEW76011.1" "NC_016515.1" 100 333 333 0 0 1 333 26722 27054 2.13e-174 616 100 333
"842" "AEW76011.1" "CP002887.1" 100 333 333 0 0 1 333 26722 27054 2.13e-174 616 100 333
"1084" "ABP62873.1" "NC_009425.1" 100 153 153 0 0 1 153 97893 98045 1.02e-74 283 100 153
"1085" "ABP62873.1" "CP000654.1" 100 153 153 0 0 1 153 97893 98045 1.02e-74 283 100 153
"1086" "KJN25296.1" "NZ_LYDO01000031.1" 100 1125 1125 0 0 1 1125 34605 33481 0 2078 100 1125
"1087" "KJN25296.1" "NZ_CP010365.1" 100 1125 1125 0 0 1 1125 32258 33382 0 2078 100 1125
"1088" "KJN25296.1" "LYDO01000031.1" 100 1125 1125 0 0 1 1125 34605 33481 0 2078 100 1125
"1089" "KJN25296.1" "KT935446.1" 100 1125 1125 0 0 1 1125 120419 119295 0 2078 100 1125
"1090" "KJN25296.1" "CP010365.1" 100 1125 1125 0 0 1 1125 32258 33382 0 2078 100 1125
"1091" "KJN25296.1" "NZ_JYFZ02000005.1" 100 1125 1097 0 0 1 1097 11827 10731 0 2026 97.5111111111111 1097
"1092" "KJN25296.1" "NZ_CP018669.1" 100 1125 1097 0 0 1 1097 27242 28338 0 2026 97.5111111111111 1097
"1093" "KJN25296.1" "NZ_CP017936.1" 100 1125 1097 0 0 1 1097 68566 67470 0 2026 97.5111111111111 1097
"1094" "KJN25296.1" "NZ_CP017932.1" 100 1125 1097 0 0 1 1097 53601 52505 0 2026 97.5111111111111 1097
"1095" "KJN25296.1" "NZ_CP014698.2" 100 1125 1097 0 0 1 1097 19863 18767 0 2026 97.5111111111111 1097
"1096" "KJN25296.1" "NZ_CP011656.1" 100 1125 1097 0 0 1 1097 73739 72643 0 2026 97.5111111111111 1097
"1097" "KJN25296.1" "NZ_CP011640.1" 100 1125 1097 0 0 1 1097 38316 37220 0 2026 97.5111111111111 1097
"1098" "KJN25296.1" "NZ_CP011614.1" 100 1125 1097 0 0 1 1097 62818 61722 0 2026 97.5111111111111 1097
"1099" "KJN25296.1" "NZ_CP011609.1" 100 1125 1097 0 0 1 1097 38667 37571 0 2026 97.5111111111111 1097
"1100" "KJN25296.1" "NZ_CP011599.1" 100 1125 1097 0 0 1 1097 73264 72168 0 2026 97.5111111111111 1097
"1101" "KJN25296.1" "NZ_CP011593.1" 100 1125 1097 0 0 1 1097 4142 3046 0 2026 97.5111111111111 1097
"1102" "KJN25296.1" "NZ_CP004000.1" 100 1125 1097 0 0 1 1097 212952 214048 0 2026 97.5111111111111 1097
"1103" "KJN25296.1" "NC_019346.1" 100 1125 1097 0 0 1 1097 48997 47901 0 2026 97.5111111111111 1097
"1104" "KJN25296.1" "KX118608.1" 100 1125 1097 0 0 1 1097 25102 24006 0 2026 97.5111111111111 1097
"1105" "KJN25296.1" "KT935445.1" 100 1125 1097 0 0 1 1097 18650 17554 0 2026 97.5111111111111 1097
"1106" "KJN25296.1" "KP975075.1" 100 1125 1097 0 0 1 1097 61066 62162 0 2026 97.5111111111111 1097
"1107" "KJN25296.1" "JYFZ02000005.1" 100 1125 1097 0 0 1 1097 11827 10731 0 2026 97.5111111111111 1097
"1108" "KJN25296.1" "JQ837276.1" 100 1125 1097 0 0 1 1097 48997 47901 0 2026 97.5111111111111 1097
"1109" "KJN25296.1" "CP018669.1" 100 1125 1097 0 0 1 1097 27242 28338 0 2026 97.5111111111111 1097
"1110" "KJN25296.1" "CP017936.1" 100 1125 1097 0 0 1 1097 68566 67470 0 2026 97.5111111111111 1097
"1111" "KJN25296.1" "CP017932.1" 100 1125 1097 0 0 1 1097 53601 52505 0 2026 97.5111111111111 1097
