"qseqid" "sseqid" "%_ident" "query_len" "alignment_length" "evalue" "bitscore" "query_cover"
"162" "AEB77224.1" "NZ_LHYV01000043.1" 100 159 159 4.91e-78 294 100
"163" "AEB77224.1" "NZ_LHYS01000005.1" 100 159 159 4.91e-78 294 100
"164" "AEB77224.1" "NZ_LHYR01000015.1" 100 159 159 4.91e-78 294 100
"165" "AEB77224.1" "NZ_LHYQ01000134.1" 100 159 159 4.91e-78 294 100
"166" "AEB77224.1" "NZ_LHYP01000004.1" 100 159 159 4.91e-78 294 100
"167" "AEB77224.1" "NZ_LGVU01000095.1" 100 159 159 4.91e-78 294 100
"168" "AEB77224.1" "NZ_LGVT01000016.1" 100 159 159 4.91e-78 294 100
"169" "AEB77224.1" "NZ_CM003340.1" 100 159 159 4.91e-78 294 100
"170" "AEB77224.1" "NZ_CM003339.1" 100 159 159 4.91e-78 294 100
"171" "AEB77224.1" "NZ_CM003321.1" 100 159 159 4.91e-78 294 100
"172" "AEB77224.1" "NC_015417.1" 100 159 159 4.91e-78 294 100
"173" "AEB77224.1" "LHYV01000043.1" 100 159 159 4.91e-78 294 100
"174" "AEB77224.1" "LHYS01000005.1" 100 159 159 4.91e-78 294 100
"175" "AEB77224.1" "LHYR01000015.1" 100 159 159 4.91e-78 294 100
"176" "AEB77224.1" "LHYQ01000134.1" 100 159 159 4.91e-78 294 100
"177" "AEB77224.1" "LHYP01000004.1" 100 159 159 4.91e-78 294 100
"178" "AEB77224.1" "LGVU01000095.1" 100 159 159 4.91e-78 294 100
"179" "AEB77224.1" "LGVT01000016.1" 100 159 159 4.91e-78 294 100
"180" "AEB77224.1" "JENT01000159.1" 100 159 159 4.91e-78 294 100
"181" "AEB77224.1" "JENS01000121.1" 100 159 159 4.91e-78 294 100
"182" "AEB77224.1" "CP002411.1" 100 159 159 4.91e-78 294 100
"183" "AEB77224.1" "CM003340.1" 100 159 159 4.91e-78 294 100
"184" "AEB77224.1" "CM003339.1" 100 159 159 4.91e-78 294 100
"185" "AEB77224.1" "CM003321.1" 100 159 159 4.91e-78 294 100
"186" "AEB77224.1" "AESC02000112.1" 100 159 159 4.91e-78 294 100
"190" "AEB77471.1" "NZ_CM003336.1" 100 141 141 4.3e-68 261 100
"191" "AEB77471.1" "NZ_AESC02000110.1" 100 141 141 4.3e-68 261 100
"192" "AEB77471.1" "NC_015426.1" 100 141 141 4.3e-68 261 100
"193" "AEB77471.1" "JENQ01000146.1" 100 141 141 4.3e-68 261 100
"194" "AEB77471.1" "CP002412.1" 100 141 141 4.3e-68 261 100
"195" "AEB77471.1" "CM003336.1" 100 141 141 4.3e-68 261 100
"196" "AEB77471.1" "AESC02000110.1" 100 141 141 4.3e-68 261 100
"197" "CDL91224.1" "NZ_CP014171.1" 100 171 171 1.14e-84 316 100
"198" "CDL91224.1" "CP016281.1" 100 171 171 1.14e-84 316 100
"199" "CDL91224.1" "CP014171.1" 100 171 171 1.14e-84 316 100
"200" "KEI06165.1" "NZ_CM003345.1" 100 159 159 4.91e-78 294 100
"201" "KEI06165.1" "JENU01000088.1" 100 159 159 4.91e-78 294 100
"202" "KEI06165.1" "CM003345.1" 100 159 159 4.91e-78 294 100
"228" "CAA44560.1" "X62684.1" 100 150 150 4.61e-73 278 100
"229" "KEH96132.1" "NZ_CM003335.1" 100 159 159 4.91e-78 294 100
"230" "KEH96132.1" "JENR01000129.1" 100 159 159 4.91e-78 294 100
"231" "KEH96132.1" "CM003335.1" 100 159 159 4.91e-78 294 100
"232" "KLU74177.1" "NZ_CM003323.1" 100 159 159 4.91e-78 294 100
"233" "KLU74177.1" "CM003323.1" 100 159 159 4.91e-78 294 100
"234" "KLU74177.1" "AESC02000114.1" 100 159 159 4.91e-78 294 100
"237" "BAB62496.1" "NC_023917.1" 100 351 351 0 649 100
"238" "BAB62496.1" "NC_003042.1" 100 351 351 0 649 100
"239" "BAB62496.1" "AP013033.1" 100 351 351 0 649 100
"240" "BAB62496.1" "AP003515.1" 100 351 351 0 649 100
"291" "EHP45205.1" "NZ_CP013044.1" 100 351 351 0 649 100
"292" "EHP45205.1" "NZ_CM001479.1" 100 351 351 0 649 100
"293" "EHP45205.1" "CP013044.1" 100 351 351 0 649 100
"294" "EHP45205.1" "CM001479.1" 100 351 351 0 649 100
"295" "EHP45205.1" "AFES01000051.1" 100 351 351 0 649 100
"302" "KEH96547.1" "NZ_CM003334.1" 100 309 309 4.31e-161 571 100
"303" "KEH96547.1" "JENR01000128.1" 100 309 309 4.31e-161 571 100
"304" "KEH96547.1" "CM003334.1" 100 309 309 4.31e-161 571 100
"332" "KEH99712.1" "NZ_CM003340.1" 100 684 684 0 1264 100
"333" "KEH99712.1" "NZ_CM003339.1" 100 684 684 0 1264 100
"334" "KEH99712.1" "JENT01000159.1" 100 684 684 0 1264 100
"335" "KEH99712.1" "JENS01000121.1" 100 684 684 0 1264 100
"336" "KEH99712.1" "CM003340.1" 100 684 684 0 1264 100
"337" "KEH99712.1" "CM003339.1" 100 684 684 0 1264 100
"406" "CRG98271.1" "LN835295.1" 100 375 375 0 693 100
"446" "BAH73490.1" "NC_012795.1" 100 285 285 8.66e-148 527 100
"447" "BAH73490.1" "AP010906.1" 100 285 285 8.66e-148 527 100
"466" "EUM24288.1" "NZ_CP018436.1" 100 249 249 7.66e-128 460 100
"467" "EUM24288.1" "NZ_CP018432.1" 100 249 249 7.66e-128 460 100
"468" "EUM24288.1" "NZ_CP018426.1" 100 249 249 7.66e-128 460 100
"469" "EUM24288.1" "NZ_CP012686.1" 100 249 249 7.66e-128 460 100
"470" "EUM24288.1" "NZ_CP012163.1" 100 249 249 7.66e-128 460 100
"471" "EUM24288.1" "NZ_CP010387.1" 100 249 249 7.66e-128 460 100
"472" "EUM24288.1" "KX348146.1" 100 249 249 7.66e-128 460 100
"473" "EUM24288.1" "CP018436.1" 100 249 249 7.66e-128 460 100
"474" "EUM24288.1" "CP018432.1" 100 249 249 7.66e-128 460 100
"475" "EUM24288.1" "CP018426.1" 100 249 249 7.66e-128 460 100
"476" "EUM24288.1" "CP012686.1" 100 249 249 7.66e-128 460 100
"477" "EUM24288.1" "CP012163.1" 100 249 249 7.66e-128 460 100
"478" "EUM24288.1" "CP010387.1" 100 249 249 7.66e-128 460 100
"514" "KPS24826.1" "NC_025184.1" 100 126 126 8.15e-60 233 100
"515" "KPS24826.1" "NC_021501.1" 100 126 126 8.15e-60 233 100
"516" "KPS24826.1" "KP900016.1" 100 126 126 8.15e-60 233 100
"517" "KPS24826.1" "KP868647.1" 100 126 126 8.15e-60 233 100
"518" "KPS24826.1" "KJ812998.1" 100 126 126 8.15e-60 233 100
"519" "KPS24826.1" "KF732966.1" 100 126 126 8.15e-60 233 100
"520" "KPS24826.1" "KC887917.2" 100 126 126 8.15e-60 233 100
"521" "KPS24826.1" "KC887916.2" 100 126 126 8.15e-60 233 100
"522" "KPS24826.1" "JQ314407.1" 100 126 126 8.15e-60 233 100
"841" "AEW76011.1" "NC_016515.1" 100 333 333 2.13e-174 616 100
"842" "AEW76011.1" "CP002887.1" 100 333 333 2.13e-174 616 100
"1084" "ABP62873.1" "NC_009425.1" 100 153 153 1.02e-74 283 100
"1085" "ABP62873.1" "CP000654.1" 100 153 153 1.02e-74 283 100
"1086" "KJN25296.1" "NZ_LYDO01000031.1" 100 1125 1125 0 2078 100
"1087" "KJN25296.1" "NZ_CP010365.1" 100 1125 1125 0 2078 100
"1088" "KJN25296.1" "LYDO01000031.1" 100 1125 1125 0 2078 100
"1089" "KJN25296.1" "KT935446.1" 100 1125 1125 0 2078 100
"1090" "KJN25296.1" "CP010365.1" 100 1125 1125 0 2078 100
"1091" "KJN25296.1" "NZ_JYFZ02000005.1" 100 1125 1097 0 2026 97.5111111111111
"1092" "KJN25296.1" "NZ_CP018669.1" 100 1125 1097 0 2026 97.5111111111111
"1093" "KJN25296.1" "NZ_CP017936.1" 100 1125 1097 0 2026 97.5111111111111
"1094" "KJN25296.1" "NZ_CP017932.1" 100 1125 1097 0 2026 97.5111111111111
"1095" "KJN25296.1" "NZ_CP014698.2" 100 1125 1097 0 2026 97.5111111111111
"1096" "KJN25296.1" "NZ_CP011656.1" 100 1125 1097 0 2026 97.5111111111111
"1097" "KJN25296.1" "NZ_CP011640.1" 100 1125 1097 0 2026 97.5111111111111
"1098" "KJN25296.1" "NZ_CP011614.1" 100 1125 1097 0 2026 97.5111111111111
"1099" "KJN25296.1" "NZ_CP011609.1" 100 1125 1097 0 2026 97.5111111111111
"1100" "KJN25296.1" "NZ_CP011599.1" 100 1125 1097 0 2026 97.5111111111111
"1101" "KJN25296.1" "NZ_CP011593.1" 100 1125 1097 0 2026 97.5111111111111
"1102" "KJN25296.1" "NZ_CP004000.1" 100 1125 1097 0 2026 97.5111111111111
"1103" "KJN25296.1" "NC_019346.1" 100 1125 1097 0 2026 97.5111111111111
"1104" "KJN25296.1" "KX118608.1" 100 1125 1097 0 2026 97.5111111111111
"1105" "KJN25296.1" "KT935445.1" 100 1125 1097 0 2026 97.5111111111111
"1106" "KJN25296.1" "KP975075.1" 100 1125 1097 0 2026 97.5111111111111
"1107" "KJN25296.1" "JYFZ02000005.1" 100 1125 1097 0 2026 97.5111111111111
"1108" "KJN25296.1" "JQ837276.1" 100 1125 1097 0 2026 97.5111111111111
"1109" "KJN25296.1" "CP018669.1" 100 1125 1097 0 2026 97.5111111111111
"1110" "KJN25296.1" "CP017936.1" 100 1125 1097 0 2026 97.5111111111111
"1111" "KJN25296.1" "CP017932.1" 100 1125 1097 0 2026 97.5111111111111
"1112" "KJN25296.1" "CP014698.2" 100 1125 1097 0 2026 97.5111111111111
"1113" "KJN25296.1" "CP011656.1" 100 1125 1097 0 2026 97.5111111111111
"1114" "KJN25296.1" "CP011640.1" 100 1125 1097 0 2026 97.5111111111111
"1115" "KJN25296.1" "CP011614.1" 100 1125 1097 0 2026 97.5111111111111
"1116" "KJN25296.1" "CP011609.1" 100 1125 1097 0 2026 97.5111111111111
"1117" "KJN25296.1" "CP011599.1" 100 1125 1097 0 2026 97.5111111111111
"1118" "KJN25296.1" "CP011593.1" 100 1125 1097 0 2026 97.5111111111111
"1119" "KJN25296.1" "CP004000.1" 100 1125 1097 0 2026 97.5111111111111
"1284" "KHQ26844.1" "NZ_CP012164.1" 100 285 285 8.66e-148 527 100
"1285" "KHQ26844.1" "CP012164.1" 100 285 285 8.66e-148 527 100
"1299" "ABP62833.1" "NC_009425.1" 100 150 150 4.61e-73 278 100
"1301" "ABP62833.1" "CP000654.1" 100 150 150 4.61e-73 278 100
"1305" "ESN19100.1" "KU295131.1" 100 219 219 3.15e-111 405 100
"1731" "KDF50723.1" "NZ_LYZC01000049.1" 100 246 246 3.52e-126 455 100
"1732" "KDF50723.1" "NZ_LYDO01000029.1" 100 246 246 3.52e-126 455 100
"1733" "KDF50723.1" "NZ_LXQO01000035.1" 100 246 246 3.52e-126 455 100
"1734" "KDF50723.1" "NZ_LJCD01000032.1" 100 246 246 3.52e-126 455 100
"1735" "KDF50723.1" "NZ_JPGT01000113.1" 100 246 246 3.52e-126 455 100
"1736" "KDF50723.1" "NZ_JPGS01000113.1" 100 246 246 3.52e-126 455 100
"1737" "KDF50723.1" "NZ_JMSW01000004.1" 100 246 246 3.52e-126 455 100
"1738" "KDF50723.1" "NZ_CP018445.1" 100 246 246 3.52e-126 455 100
"1739" "KDF50723.1" "NZ_CP018433.1" 100 246 246 3.52e-126 455 100
"1740" "KDF50723.1" "NZ_CP018431.1" 100 246 246 3.52e-126 455 100
"1741" "KDF50723.1" "NZ_CP018425.1" 100 246 246 3.52e-126 455 100
"1742" "KDF50723.1" "NZ_CP018353.1" 100 246 246 3.52e-126 455 100
"1743" "KDF50723.1" "NZ_CP015391.1" 100 246 246 3.52e-126 455 100
"1744" "KDF50723.1" "NZ_CP015384.1" 100 246 246 3.52e-126 455 100
"1745" "KDF50723.1" "NZ_CP014648.1" 100 246 246 3.52e-126 455 100
"1746" "KDF50723.1" "NZ_CP011993.1" 100 246 246 3.52e-126 455 100
"1747" "KDF50723.1" "NZ_CP011988.1" 100 246 246 3.52e-126 455 100
"1748" "KDF50723.1" "NZ_CP011984.1" 100 246 246 3.52e-126 455 100
"1749" "KDF50723.1" "NZ_CP011982.1" 100 246 246 3.52e-126 455 100
"1750" "KDF50723.1" "NZ_CP011982.1" 100 246 246 3.52e-126 455 100
"1751" "KDF50723.1" "NZ_CP011982.1" 100 246 246 3.52e-126 455 100
"1752" "KDF50723.1" "NZ_CP011979.1" 100 246 246 3.52e-126 455 100
"1753" "KDF50723.1" "NZ_CP010394.1" 100 246 246 3.52e-126 455 100
"1754" "KDF50723.1" "NZ_CP010362.1" 100 246 246 3.52e-126 455 100
"1755" "KDF50723.1" "NZ_CP009877.1" 100 246 246 3.52e-126 455 100
"1756" "KDF50723.1" "NZ_CP009873.1" 100 246 246 3.52e-126 455 100
"1757" "KDF50723.1" "NZ_CP009778.1" 100 246 246 3.52e-126 455 100
"1758" "KDF50723.1" "NZ_CP009772.1" 100 246 246 3.52e-126 455 100
"1759" "KDF50723.1" "NZ_CP008832.1" 100 246 246 3.52e-126 455 100
"1760" "KDF50723.1" "NZ_CP008828.1" 100 246 246 3.52e-126 455 100
"1761" "KDF50723.1" "NZ_CP008799.1" 100 246 246 3.52e-126 455 100
"1762" "KDF50723.1" "NZ_CP007728.1" 100 246 246 3.52e-126 455 100
"1763" "KDF50723.1" "NZ_CP006928.1" 100 246 246 3.52e-126 455 100
"1764" "KDF50723.1" "NZ_CP006919.1" 100 246 246 3.52e-126 455 100
"1765" "KDF50723.1" "NC_021666.1" 100 246 246 3.52e-126 455 100
"1766" "KDF50723.1" "NC_021656.1" 100 246 246 3.52e-126 455 100
"1767" "KDF50723.1" "NC_020182.1" 100 246 246 3.52e-126 455 100
"1768" "KDF50723.1" "NC_019159.1" 100 246 246 3.52e-126 455 100
"1769" "KDF50723.1" "NC_019156.1" 100 246 246 3.52e-126 455 100
"1770" "KDF50723.1" "NC_018953.1" 100 246 246 3.52e-126 455 100
"1771" "KDF50723.1" "NC_011382.1" 100 246 246 3.52e-126 455 100
"1772" "KDF50723.1" "NC_009793.1" 100 246 246 3.52e-126 455 100
"1773" "KDF50723.1" "LYZC01000049.1" 100 246 246 3.52e-126 455 100
"1774" "KDF50723.1" "LYDO01000029.1" 100 246 246 3.52e-126 455 100
"1775" "KDF50723.1" "LXQO01000035.1" 100 246 246 3.52e-126 455 100
"1776" "KDF50723.1" "LT216440.1" 100 246 246 3.52e-126 455 100
"1777" "KDF50723.1" "LJCD01000032.1" 100 246 246 3.52e-126 455 100
"1778" "KDF50723.1" "JX442977.1" 100 246 246 3.52e-126 455 100
"1779" "KDF50723.1" "JX442973.1" 100 246 246 3.52e-126 455 100
"1780" "KDF50723.1" "JPGT01000113.1" 100 246 246 3.52e-126 455 100
"1781" "KDF50723.1" "JPGS01000113.1" 100 246 246 3.52e-126 455 100
"1782" "KDF50723.1" "JN247853.1" 100 246 246 3.52e-126 455 100
"1783" "KDF50723.1" "JMSW01000004.1" 100 246 246 3.52e-126 455 100
"1784" "KDF50723.1" "JF828150.1" 100 246 246 3.52e-126 455 100
"1785" "KDF50723.1" "FO203353.1" 100 246 246 3.52e-126 455 100
"1786" "KDF50723.1" "FJ223606.1" 100 246 246 3.52e-126 455 100
"1787" "KDF50723.1" "DQ298019.1" 100 246 246 3.52e-126 455 100
"1788" "KDF50723.1" "CP018672.1" 100 246 246 3.52e-126 455 100
"1789" "KDF50723.1" "CP018445.1" 100 246 246 3.52e-126 455 100
"1790" "KDF50723.1" "CP018433.1" 100 246 246 3.52e-126 455 100
"1791" "KDF50723.1" "CP018431.1" 100 246 246 3.52e-126 455 100
"1792" "KDF50723.1" "CP018425.1" 100 246 246 3.52e-126 455 100
"1793" "KDF50723.1" "CP018353.1" 100 246 246 3.52e-126 455 100
"1794" "KDF50723.1" "CP018348.1" 100 246 246 3.52e-126 455 100
"1795" "KDF50723.1" "CP015396.1" 100 246 246 3.52e-126 455 100
"1796" "KDF50723.1" "CP015391.1" 100 246 246 3.52e-126 455 100
"1797" "KDF50723.1" "CP015384.1" 100 246 246 3.52e-126 455 100
"1798" "KDF50723.1" "CP014648.1" 100 246 246 3.52e-126 455 100
"1799" "KDF50723.1" "CP011993.1" 100 246 246 3.52e-126 455 100
"1800" "KDF50723.1" "CP011988.1" 100 246 246 3.52e-126 455 100
"1801" "KDF50723.1" "CP011984.1" 100 246 246 3.52e-126 455 100
"1802" "KDF50723.1" "CP011982.1" 100 246 246 3.52e-126 455 100
"1803" "KDF50723.1" "CP011982.1" 100 246 246 3.52e-126 455 100
"1804" "KDF50723.1" "CP011982.1" 100 246 246 3.52e-126 455 100
"1805" "KDF50723.1" "CP011979.1" 100 246 246 3.52e-126 455 100
"1806" "KDF50723.1" "CP010394.1" 100 246 246 3.52e-126 455 100
"1807" "KDF50723.1" "CP010362.1" 100 246 246 3.52e-126 455 100
"1808" "KDF50723.1" "CP009877.1" 100 246 246 3.52e-126 455 100
"1809" "KDF50723.1" "CP009873.1" 100 246 246 3.52e-126 455 100
"1810" "KDF50723.1" "CP009778.1" 100 246 246 3.52e-126 455 100
"1811" "KDF50723.1" "CP009772.1" 100 246 246 3.52e-126 455 100
"1812" "KDF50723.1" "CP008832.1" 100 246 246 3.52e-126 455 100
"1813" "KDF50723.1" "CP008828.1" 100 246 246 3.52e-126 455 100
"1814" "KDF50723.1" "CP008799.1" 100 246 246 3.52e-126 455 100
"1815" "KDF50723.1" "CP007728.1" 100 246 246 3.52e-126 455 100
"1816" "KDF50723.1" "CP006928.1" 100 246 246 3.52e-126 455 100
"1817" "KDF50723.1" "CP006919.1" 100 246 246 3.52e-126 455 100
"1818" "KDF50723.1" "CP000823.1" 100 246 246 3.52e-126 455 100
"1827" "KJN26602.1" "MKXD01000001.1" 100 297 297 1.94e-154 549 100
"3298" "EEV46410.1" "NZ_LPUE01000005.1" 100 387 387 0 715 100
"3299" "EEV46410.1" "NZ_GG692619.1" 100 387 387 0 715 100
"3300" "EEV46410.1" "NZ_GG692535.1" 100 387 387 0 715 100
"3301" "EEV46410.1" "NZ_GG688625.1" 100 387 387 0 715 100
"3302" "EEV46410.1" "NZ_CP014535.1" 100 387 387 0 715 100
"3303" "EEV46410.1" "NZ_CP013996.1" 100 387 387 0 715 100
"3304" "EEV46410.1" "LPUE01000005.1" 100 387 387 0 715 100
"3305" "EEV46410.1" "GG692619.1" 100 387 387 0 715 100
"3306" "EEV46410.1" "GG692535.1" 100 387 387 0 715 100
"3307" "EEV46410.1" "GG688625.1" 100 387 387 0 715 100
"3308" "EEV46410.1" "CP016166.1" 100 387 387 0 715 100
"3309" "EEV46410.1" "CP014535.1" 100 387 387 0 715 100
"3310" "EEV46410.1" "CP014451.1" 100 387 387 0 715 100
"3311" "EEV46410.1" "CP013996.1" 100 387 387 0 715 100
"3312" "EEV46410.1" "ACBB01000373.1" 100 387 387 0 715 100
"3313" "EEV46410.1" "ACBA01000225.1" 100 387 387 0 715 100
"3314" "EEV46410.1" "ACAS01000287.1" 100 387 387 0 715 100
"3467" "ELA56447.1" "X92945.2" 100 204 204 6.32e-103 377 100
"3470" "ELA56447.1" "NC_014726.1" 100 204 204 6.32e-103 377 100
"3472" "ELA56447.1" "NC_010980.1" 100 204 204 6.32e-103 377 100
"3474" "ELA56447.1" "NC_010540.1" 100 204 204 6.32e-103 377 100
"3476" "ELA56447.1" "NC_008821.1" 100 204 204 6.32e-103 377 100
"3478" "ELA56447.1" "NC_008768.1" 100 204 204 6.32e-103 377 100
"3480" "ELA56447.1" "NC_008445.1" 100 204 204 6.32e-103 377 100
"3483" "ELA56447.1" "KX810026.1" 100 204 204 6.32e-103 377 100
"3485" "ELA56447.1" "KX579977.1" 100 204 204 6.32e-103 377 100
"3486" "ELA56447.1" "AM931300.1" 100 204 204 6.32e-103 377 100
"3488" "ELA56447.1" "AM410096.1" 100 204 204 6.32e-103 377 100
"3490" "ELA56447.1" "AM296544.1" 100 204 204 6.32e-103 377 100
"3492" "ELA56447.1" "AJ549242.1" 100 204 204 6.32e-103 377 100
"3494" "ELA56447.1" "AJ549241.1" 100 204 204 6.32e-103 377 100
"3495" "ELA56447.1" "AB563188.1" 100 204 204 6.32e-103 377 100
"3497" "ELA56447.1" "AB290882.1" 100 204 204 6.32e-103 377 100
"3770" "EOF31430.1" "X92945.2" 100 228 228 3.27e-116 422 100
"3773" "EOF31430.1" "X72021.1" 100 228 228 3.27e-116 422 100
"3774" "EOF31430.1" "NC_014726.1" 100 228 228 3.27e-116 422 100
"3777" "EOF31430.1" "NC_008445.1" 100 228 228 3.27e-116 422 100
"3780" "EOF31430.1" "NC_002136.1" 100 228 228 3.27e-116 422 100
"3781" "EOF31430.1" "KX810026.1" 100 228 228 3.27e-116 422 100
"3783" "EOF31430.1" "HF570055.1" 100 228 228 3.27e-116 422 100
"3784" "EOF31430.1" "AJ549242.1" 100 228 228 3.27e-116 422 100
"3786" "EOF31430.1" "AB563188.1" 100 228 228 3.27e-116 422 100
"3858" "EOF31430.1" "NC_004566.1" 100 228 210 3.32e-106 388 92.1052631578947
"3861" "EOF31430.1" "AJ488494.2" 100 228 210 3.32e-106 388 92.1052631578947
"4783" "EAN10534.1" "NZ_LPUE01000006.1" 100 264 264 3.75e-136 488 100
"4784" "EAN10534.1" "NZ_LPUE01000006.1" 100 264 264 3.75e-136 488 100
"4785" "EAN10534.1" "NZ_GG692536.1" 100 264 264 3.75e-136 488 100
"4786" "EAN10534.1" "NZ_CP018066.1" 100 264 264 3.75e-136 488 100
"4788" "EAN10534.1" "NZ_CP011830.1" 100 264 264 3.75e-136 488 100
"4789" "EAN10534.1" "NC_018222.1" 100 264 264 3.75e-136 488 100
"4791" "EAN10534.1" "NC_017962.1" 100 264 264 3.75e-136 488 100
"4792" "EAN10534.1" "NC_010540.1" 100 264 264 3.75e-136 488 100
"4795" "EAN10534.1" "NC_005000.1" 100 264 264 3.75e-136 488 100
"4796" "EAN10534.1" "LPUE01000006.1" 100 264 264 3.75e-136 488 100
"4797" "EAN10534.1" "LPUE01000006.1" 100 264 264 3.75e-136 488 100
"4798" "EAN10534.1" "LN999989.1" 100 264 264 3.75e-136 488 100
"4799" "EAN10534.1" "KP842560.1" 100 264 264 3.75e-136 488 100
"4800" "EAN10534.1" "GG692536.1" 100 264 264 3.75e-136 488 100
"4801" "EAN10534.1" "CP018066.1" 100 264 264 3.75e-136 488 100
"4803" "EAN10534.1" "CP011830.1" 100 264 264 3.75e-136 488 100
"4804" "EAN10534.1" "CP003727.1" 100 264 264 3.75e-136 488 100
"4806" "EAN10534.1" "CP003585.1" 100 264 264 3.75e-136 488 100
"4807" "EAN10534.1" "AF516335.1" 100 264 264 3.75e-136 488 100
"4808" "EAN10534.1" "AF507977.1" 100 264 264 3.75e-136 488 100
"4809" "EAN10534.1" "ACBA01000227.1" 100 264 264 3.75e-136 488 100
"4810" "EAN10534.1" "AB290882.1" 100 264 264 3.75e-136 488 100
"5074" "EEV43771.1" "NZ_LPUE01000006.1" 100 279 279 1.83e-144 516 100
"5075" "EEV43771.1" "NZ_GG692619.1" 100 279 279 1.83e-144 516 100
